46456,a,-,-
46457,a.1,-,-
46458,a.1.1,-,group1
46459,a.1.1.1,-,group1
46460,a.1.1.1,-,group1
46461,a.1.1.1,-,group1
14982,a.1.1.1,d1dlwa_,group1
100068,a.1.1.1,d1uvya_,group1
46462,a.1.1.1,-,group1
14983,a.1.1.1,d1dlya_,group1
100067,a.1.1.1,d1uvxa_,group1
81667,a.1.1.1,-,group1
105305,a.1.1.1,d1s69a_,group1
105306,a.1.1.1,d1s6aa_,group1
136906,a.1.1.1,d2hz1a1,group1
97827,a.1.1.1,d1rtxa_,group1
79572,a.1.1.1,d1mwba_,group1
63437,a.1.1.1,-,group1
62301,a.1.1.1,d1idra_,group1
62302,a.1.1.1,d1idrb_,group1
105096,a.1.1.1,d1rtea_,group1
105097,a.1.1.1,d1rteb_,group1
105283,a.1.1.1,d1s61a_,group1
105284,a.1.1.1,d1s61b_,group1
105260,a.1.1.1,d1s56a_,group1
105261,a.1.1.1,d1s56b_,group1
88965,a.1.1.1,-,group1
85673,a.1.1.1,d1ngka_,group1
85674,a.1.1.1,d1ngkb_,group1
85675,a.1.1.1,d1ngkc_,group1
85676,a.1.1.1,d1ngkd_,group1
85677,a.1.1.1,d1ngke_,group1
85678,a.1.1.1,d1ngkf_,group1
85679,a.1.1.1,d1ngkg_,group1
85680,a.1.1.1,d1ngkh_,group1
85681,a.1.1.1,d1ngki_,group1
85682,a.1.1.1,d1ngkj_,group1
85683,a.1.1.1,d1ngkk_,group1
85684,a.1.1.1,d1ngkl_,group1
116748,a.1.1.1,-,group1
113449,a.1.1.1,d1ux8a_,group1
74660,a.1.1.4,-,group1
74661,a.1.1.4,-,group1
74662,a.1.1.4,-,group1
72890,a.1.1.4,d1kr7a_,group1
108201,a.1.1.4,d1v07a_,group1
46463,a.1.1.2,-,group1
46464,a.1.1.2,-,group1
46465,a.1.1.2,-,group1
14984,a.1.1.2,d3sdha_,group1
14985,a.1.1.2,d3sdhb_,group1
127347,a.1.1.2,d2av0a1,group1
127348,a.1.1.2,d2av0b1,group1
67865,a.1.1.2,d1jzla_,group1
67866,a.1.1.2,d1jzlb_,group1
14988,a.1.1.2,d4sdha_,group1
14989,a.1.1.2,d4sdhb_,group1
14994,a.1.1.2,d7hbia_,group1
14995,a.1.1.2,d7hbib_,group1
14990,a.1.1.2,d4hbia_,group1
14991,a.1.1.2,d4hbib_,group1
14992,a.1.1.2,d5hbia_,group1
14993,a.1.1.2,d5hbib_,group1
127355,a.1.1.2,d2av3a1,group1
127356,a.1.1.2,d2av3b1,group1
14996,a.1.1.2,d1hbia_,group1
14997,a.1.1.2,d1hbib_,group1
15000,a.1.1.2,d6hbia_,group1
15001,a.1.1.2,d6hbib_,group1
67867,a.1.1.2,d1jzma_,group1
67868,a.1.1.2,d1jzmb_,group1
92298,a.1.1.2,d1nxfa_,group1
92299,a.1.1.2,d1nxfb_,group1
67861,a.1.1.2,d1jzka_,group1
67862,a.1.1.2,d1jzkb_,group1
67863,a.1.1.2,d1jzkc_,group1
67864,a.1.1.2,d1jzkd_,group1
15002,a.1.1.2,d1scta_,group1
15003,a.1.1.2,d1sctb_,group1
15004,a.1.1.2,d1sctc_,group1
15005,a.1.1.2,d1sctd_,group1
15006,a.1.1.2,d1scte_,group1
15007,a.1.1.2,d1sctf_,group1
15008,a.1.1.2,d1sctg_,group1
15009,a.1.1.2,d1scth_,group1
67394,a.1.1.2,d1jwna_,group1
67395,a.1.1.2,d1jwnb_,group1
67396,a.1.1.2,d1jwnc_,group1
67397,a.1.1.2,d1jwnd_,group1
92237,a.1.1.2,d1nwia_,group1
92238,a.1.1.2,d1nwib_,group1
92239,a.1.1.2,d1nwic_,group1
92240,a.1.1.2,d1nwid_,group1
92243,a.1.1.2,d1nwna_,group1
92244,a.1.1.2,d1nwnb_,group1
46466,a.1.1.2,-,group1
15010,a.1.1.2,d1b0ba_,group1
15011,a.1.1.2,d1flpa_,group1
15013,a.1.1.2,d1ebta_,group1
15012,a.1.1.2,d1moha_,group1
63438,a.1.1.2,-,group1
63439,a.1.1.2,-,group1
60812,a.1.1.2,d1h97a_,group1
60813,a.1.1.2,d1h97b_,group1
72424,a.1.1.2,d1kfra_,group1
46467,a.1.1.2,-,group1
46468,a.1.1.2,-,group1
